Rank,Name,Platform,Year,Genre,Publisher,NA_Sales_M,EU_Sales_M,JP_Sales_M,Other_Sales_M,Global_Sales_M,Regional_Sum,Sales_Diff,log_Global_Sales_M,log_NA_Sales_M,log_EU_Sales_M,log_JP_Sales_M,Era,Publisher_Strength
4124,Football Manager 2015,PC,2014,Simulation,Sega,0.0,0.43,0.0,0.05,0.48,0.48,0.0,0.3920420877760237,0.0,0.3576744442718159,0.0,Post-Peak,0.030602750536969026
4125,Theme Park Roller Coaster,PS2,2000,Strategy,Electronic Arts,0.23,0.18,0.0,0.06,0.48,0.47000000000000003,0.009999999999999953,0.3920420877760237,0.20701416938432615,0.16551443847757338,0.0,Transition,0.12446919658671544
4126,Need for Speed: Hot Pursuit,Wii,2010,Racing,Electronic Arts,0.18,0.24,0.0,0.05,0.48,0.47,0.010000000000000009,0.3920420877760237,0.16551443847757338,0.2151113796169455,0.0,Shooter Boom,0.12446919658671544
4127,Skylanders: SuperChargers,WiiU,2015,Action,Activision,0.25,0.18,0.0,0.04,0.48,0.47,0.010000000000000009,0.3920420877760237,0.22314355131420976,0.16551443847757338,0.0,Post-Peak,0.08154978902385981
4128,Viva Pinata: Trouble in Paradise,X360,2008,Simulation,Microsoft Game Studios,0.16,0.25,0.01,0.05,0.48,0.47000000000000003,0.009999999999999953,0.3920420877760237,0.14842000511827327,0.22314355131420976,0.009950330853168083,Shooter Boom,0.027553573590540375
4129,Nickelodeon Team Umizoomi,DS,2011,Action,Take-Two Interactive,0.45,0.0,0.0,0.03,0.48,0.48,0.0,0.3920420877760237,0.37156355643248307,0.0,0.0,Shooter Boom,0.04478927048441557
4130,FlingSmash,Wii,2010,Action,Nintendo,0.38,0.01,0.07,0.02,0.48,0.48000000000000004,-5.551115123125783e-17,0.3920420877760237,0.32208349916911333,0.009950330853168083,0.06765864847381481,Shooter Boom,0.20027711637542542
4131,NFL Xtreme 2,PS,1999,Sports,989 Studios,0.27,0.18,0.0,0.03,0.48,0.48,0.0,0.3920420877760237,0.23901690047049992,0.16551443847757338,0.0,RPG Dominance,0.0014931998870010895
4132,Spider-Man 3,Wii,2007,Platform,Activision,0.42,0.02,0.0,0.04,0.48,0.48,0.0,0.3920420877760237,0.35065687161316933,0.019802627296179712,0.0,Shooter Boom,0.08154978902385981
4133,Midnight Club: Street Racing,GBA,2001,Racing,Rebellion,0.34,0.13,0.0,0.01,0.48,0.48000000000000004,-5.551115123125783e-17,0.3920420877760237,0.29266961396282,0.12221763272424921,0.0,Transition,5.49300258731632e-05
4134,Dynasty Warriors Gundam,PS3,2007,Action,Tecmo Koei,0.14,0.01,0.31,0.02,0.48,0.48000000000000004,-5.551115123125783e-17,0.3920420877760237,0.1310282624064041,0.009950330853168083,0.27002713721306015,Shooter Boom,0.006003067113281407
4135,Tomb Raider: Underworld,Wii,2008,Action,Eidos Interactive,0.14,0.28,0.0,0.06,0.48,0.48000000000000004,-5.551115123125783e-17,0.3920420877760237,0.1310282624064041,0.2468600779315258,0.0,Shooter Boom,0.011095865226378968
4136,Final Fantasy Crystal Chronicles: Echoes of Time,DS,2009,Role-Playing,Square Enix,0.12,0.06,0.27,0.02,0.48,0.47000000000000003,0.009999999999999953,0.3920420877760237,0.11332868530700317,0.058268908123975775,0.23901690047049992,Shooter Boom,0.016274981951562927
4137,Fable,X360,2014,Role-Playing,Microsoft Game Studios,0.25,0.19,0.01,0.04,0.48,0.49,-0.010000000000000009,0.3920420877760237,0.22314355131420976,0.173953307123438,0.009950330853168083,Post-Peak,0.027553573590540375
4138,Tiger Woods PGA Tour 06,XB,2005,Sports,Electronic Arts,0.35,0.11,0.0,0.02,0.48,0.48,0.0,0.3920420877760237,0.30010459245033805,0.10436001532424277,0.0,Shooter Boom,0.12446919658671544
4139,FIFA World Cup Germany 2006,X360,2006,Sports,Electronic Arts,0.19,0.27,0.01,0.0,0.48,0.47000000000000003,0.009999999999999953,0.3920420877760237,0.173953307123438,0.23901690047049992,0.009950330853168083,Shooter Boom,0.12446919658671544
4140,Up,PS2,2009,Action,THQ,0.19,0.05,0.0,0.24,0.48,0.48,0.0,0.3920420877760237,0.173953307123438,0.04879016416943201,0.0,Shooter Boom,0.038201030442444536
4141,Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0.0,0.0,0.48,0.48,0.0,0.3920420877760237,0.37156355643248307,0.0295588022415444,0.0,Early Emergence,0.08154978902385981
4142,Ford Racing Off Road,Wii,2008,Racing,Xplosiv,0.06,0.4,0.0,0.01,0.48,0.47000000000000003,0.009999999999999953,0.3920420877760237,0.058268908123975775,0.33647223662121295,0.0,Shooter Boom,0.0001838474335346687
4143,SimCity Creator,Wii,2008,Simulation,Electronic Arts,0.37,0.03,0.04,0.04,0.48,0.48,0.0,0.3920420877760237,0.31481073984003355,0.0295588022415444,0.039220713153281295,Shooter Boom,0.12446919658671544
4144,World of Outlaws: Sprint Cars 2002,PS2,2002,Racing,Ignition Entertainment,0.23,0.18,0.0,0.06,0.48,0.47000000000000003,0.009999999999999953,0.3920420877760237,0.20701416938432615,0.16551443847757338,0.0,Transition,0.0007645362784795369
4145,Cars: Race-O-Rama,DS,2009,Racing,THQ,0.35,0.09,0.0,0.04,0.48,0.4799999999999999,5.551115123125783e-17,0.3920420877760237,0.30010459245033805,0.08617769624105233,0.0,Shooter Boom,0.038201030442444536
4146,Emergency Heroes,Wii,2008,Racing,Ubisoft,0.15,0.27,0.0,0.06,0.48,0.48000000000000004,-5.551115123125783e-17,0.3920420877760237,0.13976194237515868,0.23901690047049992,0.0,Shooter Boom,0.053217105882669466
4147,Sonic the Hedgehog,PS3,2007,Platform,Unknown,0.0,0.48,0.0,0.0,0.48,0.48,0.0,0.3920420877760237,0.0,0.3920420877760237,0.0,Shooter Boom,0.005553537717870418
4148,Fantavision,PS2,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47,0.48,-0.010000000000000009,0.3852624007906449,0.1310282624064041,0.10436001532424277,0.173953307123438,Transition,0.06810202187336051
4149,Double Dragon,2600,1989,Action,Activision,0.45,0.02,0.0,0.01,0.47,0.48000000000000004,-0.010000000000000064,0.3852624007906449,0.37156355643248307,0.019802627296179712,0.0,Early Emergence,0.08154978902385981
4150,Alien Trilogy,PS,1996,Shooter,Acclaim Entertainment,0.24,0.16,0.04,0.03,0.47,0.47,0.0,0.3852624007906449,0.2151113796169455,0.14842000511827327,0.039220713153281295,RPG Dominance,0.007190228284703445
4151,NBA Live 99,N64,1998,Sports,Electronic Arts,0.45,0.02,0.0,0.0,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.37156355643248307,0.019802627296179712,0.0,RPG Dominance,0.12446919658671544
4152,Bravely Second: End Layer,3DS,2015,Role-Playing,Nintendo,0.16,0.11,0.18,0.03,0.47,0.48,-0.010000000000000009,0.3852624007906449,0.14842000511827327,0.10436001532424277,0.16551443847757338,Post-Peak,0.20027711637542542
4153,Karate,2600,2007,Fighting,Ultravision,0.44,0.03,0.0,0.0,0.47,0.47,0.0,0.3852624007906449,0.36464311358790924,0.0295588022415444,0.0,Shooter Boom,5.2687984000789195e-05
4154,Dark Sector,PS3,2008,Shooter,D3Publisher,0.23,0.16,0.01,0.07,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.20701416938432615,0.14842000511827327,0.009950330853168083,Shooter Boom,0.0027050235190192408
4155,Unreal Tournament III,X360,2008,Shooter,Midway Games,0.25,0.17,0.01,0.05,0.47,0.48000000000000004,-0.010000000000000064,0.3852624007906449,0.22314355131420976,0.15700374880966475,0.009950330853168083,Shooter Boom,0.007830331239266224
4156,X-Men: Next Dimension,PS2,2002,Fighting,Activision,0.23,0.18,0.0,0.06,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.20701416938432615,0.16551443847757338,0.0,Transition,0.08154978902385981
4157,Street Fighter X Tekken,X360,2012,Fighting,Capcom,0.31,0.1,0.03,0.03,0.47,0.4700000000000001,-1.1102230246251565e-16,0.3852624007906449,0.27002713721306015,0.09531017980432487,0.0295588022415444,Post-Peak,0.022520189587060726
4158,The Godfather (JP sales),PS2,2006,Action,Electronic Arts,0.39,0.02,0.0,0.06,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.3293037471426004,0.019802627296179712,0.0,Shooter Boom,0.12446919658671544
4159,MySims Racing,Wii,2009,Racing,Electronic Arts,0.19,0.23,0.0,0.05,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.173953307123438,0.20701416938432615,0.0,Shooter Boom,0.12446919658671544
4160,Hamsterz Life,DS,2006,Action,Ubisoft,0.43,0.01,0.0,0.04,0.47,0.48,-0.010000000000000009,0.3852624007906449,0.3576744442718159,0.009950330853168083,0.0,Shooter Boom,0.053217105882669466
4161,Dragon Age Origins: Awakening,X360,2010,Role-Playing,Electronic Arts,0.33,0.1,0.0,0.04,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.2851789422336624,0.09531017980432487,0.0,Shooter Boom,0.12446919658671544
4162,Super Puyo Puyo 2,SNES,1995,Puzzle,Compile,0.0,0.0,0.47,0.0,0.47,0.47,0.0,0.3852624007906449,0.0,0.0,0.3852624007906449,RPG Dominance,0.000275771150302003
4163,Gauntlet Legends,PS,2000,Action,Midway Games,0.26,0.18,0.0,0.03,0.47,0.47,0.0,0.3852624007906449,0.23111172096338664,0.16551443847757338,0.0,Transition,0.007830331239266224
4164,Castlevania: Dawn of Sorrow,DS,2005,Platform,Konami Digital Entertainment,0.37,0.04,0.03,0.04,0.47,0.4799999999999999,-0.009999999999999953,0.3852624007906449,0.31481073984003355,0.039220713153281295,0.0295588022415444,Shooter Boom,0.031796637834008185
4165,Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,Fighting,Namco Bandai Games,0.15,0.16,0.09,0.08,0.47,0.48000000000000004,-0.010000000000000064,0.3852624007906449,0.13976194237515868,0.14842000511827327,0.08617769624105233,Post-Peak,0.028484020967575588
4166,Deadpool,PS3,2013,Action,Activision,0.23,0.17,0.0,0.08,0.47,0.48000000000000004,-0.010000000000000064,0.3852624007906449,0.20701416938432615,0.15700374880966475,0.0,Post-Peak,0.08154978902385981
4167,WipEout,PS,1995,Action,Psygnosis,0.26,0.18,0.0,0.03,0.47,0.47,0.0,0.3852624007906449,0.23111172096338664,0.16551443847757338,0.0,RPG Dominance,0.000814982220607952
4168,ICO,PS2,2001,Action,Sony Computer Entertainment,0.23,0.18,0.0,0.06,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.20701416938432615,0.16551443847757338,0.0,Transition,0.06810202187336051
4169,Silent Hill: Downpour,PS3,2012,Action,Konami Digital Entertainment,0.21,0.16,0.04,0.06,0.47,0.47,0.0,0.3852624007906449,0.1906203596086497,0.14842000511827327,0.039220713153281295,Post-Peak,0.031796637834008185
4170,2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.14,0.28,0.0,0.04,0.47,0.46,0.009999999999999953,0.3852624007906449,0.1310282624064041,0.2468600779315258,0.0,Post-Peak,0.12446919658671544
4171,WWE SmackDown vs. Raw 2011,Wii,2010,Fighting,THQ,0.3,0.13,0.0,0.04,0.47,0.47,0.0,0.3852624007906449,0.26236426446749106,0.12221763272424921,0.0,Shooter Boom,0.038201030442444536
4172,Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,2011,Role-Playing,Square Enix,0.0,0.0,0.47,0.0,0.47,0.47,0.0,0.3852624007906449,0.0,0.0,0.3852624007906449,Shooter Boom,0.016274981951562927
4173,Victorious Boxers: Ippo's Road to Glory,PS2,2000,Fighting,Empire Interactive,0.05,0.04,0.38,0.01,0.47,0.48,-0.010000000000000009,0.3852624007906449,0.04879016416943201,0.039220713153281295,0.32208349916911333,Transition,0.0012656326369551276
4174,Petz Sports,Wii,2008,Simulation,Ubisoft,0.42,0.01,0.0,0.04,0.47,0.47,0.0,0.3852624007906449,0.35065687161316933,0.009950330853168083,0.0,Shooter Boom,0.053217105882669466
4175,Lego Batman 3: Beyond Gotham,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.23,0.21,0.0,0.04,0.47,0.48,-0.010000000000000009,0.3852624007906449,0.20701416938432615,0.1906203596086497,0.0,Post-Peak,0.01725139118698181
4176,Densetsu no Stafi,GBA,2002,Platform,Nintendo,0.0,0.0,0.46,0.01,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.0,0.0,0.3784364357202451,Transition,0.20027711637542542
4177,Valkyrie Profile 2: Silmeria,PS2,2006,Role-Playing,Square Enix,0.04,0.03,0.39,0.01,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.039220713153281295,0.0295588022415444,0.3293037471426004,Shooter Boom,0.016274981951562927
4178,Hot Wheels Velocity X,PS2,2002,Racing,THQ,0.23,0.18,0.0,0.06,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.20701416938432615,0.16551443847757338,0.0,Transition,0.038201030442444536
4179,Shadowrun,X360,2007,Role-Playing,Microsoft Game Studios,0.41,0.02,0.0,0.04,0.47,0.47,0.0,0.3852624007906449,0.3435897043900769,0.019802627296179712,0.0,Shooter Boom,0.027553573590540375
4180,FIFA Soccer 13,PSV,2012,Action,Electronic Arts,0.0,0.3,0.05,0.12,0.47,0.47,0.0,0.3852624007906449,0.0,0.26236426446749106,0.04879016416943201,Post-Peak,0.12446919658671544
4181,Virtua Tennis 4: World Tour,PSV,2011,Sports,Sega,0.05,0.3,0.01,0.12,0.47,0.48,-0.010000000000000009,0.3852624007906449,0.04879016416943201,0.26236426446749106,0.009950330853168083,Shooter Boom,0.030602750536969026
4182,"Warhammer 40,000: Dawn of War II",PC,2009,Strategy,THQ,0.0,0.45,0.0,0.02,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.0,0.37156355643248307,0.0,Shooter Boom,0.038201030442444536
4183,Crazy Taxi: Fare Wars,PSP,2007,Racing,Sega,0.1,0.22,0.02,0.12,0.47,0.46,0.009999999999999953,0.3852624007906449,0.09531017980432487,0.1988508587451652,0.019802627296179712,Shooter Boom,0.030602750536969026
4184,Clash of Elementalists,DS,2010,Action,Level 5,0.0,0.0,0.47,0.0,0.47,0.47,0.0,0.3852624007906449,0.0,0.0,0.3852624007906449,Shooter Boom,0.0013642824793395842
4185,Spider-Man 3,DS,2007,Platform,Activision,0.41,0.02,0.0,0.04,0.47,0.47,0.0,0.3852624007906449,0.3435897043900769,0.019802627296179712,0.0,Shooter Boom,0.08154978902385981
4186,Disney Infinity 3.0,PS3,2015,Action,Disney Interactive Studios,0.14,0.25,0.0,0.08,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.1310282624064041,0.22314355131420976,0.0,Post-Peak,0.013447767150499303
4187,L.A. Rush,PS2,2005,Racing,Midway Games,0.23,0.18,0.0,0.06,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.20701416938432615,0.16551443847757338,0.0,Shooter Boom,0.007830331239266224
4188,Bomberman Hero,N64,1998,Platform,Nintendo,0.27,0.06,0.08,0.05,0.47,0.46,0.009999999999999953,0.3852624007906449,0.23901690047049992,0.058268908123975775,0.07696104113612832,RPG Dominance,0.20027711637542542
4189,Automobili Lamborghini,N64,1997,Racing,Titus,0.28,0.17,0.0,0.01,0.47,0.4600000000000001,0.009999999999999898,0.3852624007906449,0.2468600779315258,0.15700374880966475,0.0,RPG Dominance,0.00037217895081408537
4190,Quest 64,N64,1998,Role-Playing,Konami Digital Entertainment,0.38,0.08,0.0,0.01,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.32208349916911333,0.07696104113612832,0.0,RPG Dominance,0.031796637834008185
4191,Momotarou Dentetsu V,PS,1999,Misc,Hudson Entertainment,0.0,0.0,0.44,0.03,0.47,0.47,0.0,0.3852624007906449,0.0,0.0,0.36464311358790924,RPG Dominance,0.0001894525382156037
4192,Doom 64,N64,1997,Shooter,Midway Games,0.38,0.08,0.0,0.01,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.32208349916911333,0.07696104113612832,0.0,RPG Dominance,0.007830331239266224
4193,Boom Blox Bash Party,Wii,2009,Puzzle,Electronic Arts,0.34,0.09,0.0,0.04,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.29266961396282,0.08617769624105233,0.0,Shooter Boom,0.12446919658671544
4194,The Sims 3: Ambitions,PC,2010,Simulation,Electronic Arts,0.0,0.29,0.0,0.18,0.47,0.47,0.0,0.3852624007906449,0.0,0.2546422183735807,0.0,Shooter Boom,0.12446919658671544
4195,Dead or Alive 4,X360,2005,Fighting,Tecmo Koei,0.3,0.03,0.1,0.03,0.47,0.45999999999999996,0.010000000000000009,0.3852624007906449,0.26236426446749106,0.0295588022415444,0.09531017980432487,Shooter Boom,0.006003067113281407
4196,Commando,2600,1987,Action,Activision,0.44,0.02,0.0,0.0,0.47,0.46,0.009999999999999953,0.3852624007906449,0.36464311358790924,0.019802627296179712,0.0,Early Emergence,0.08154978902385981
4197,Rise of Nightmares,X360,2011,Action,Sega,0.28,0.13,0.01,0.04,0.47,0.46,0.009999999999999953,0.3852624007906449,0.2468600779315258,0.12221763272424921,0.009950330853168083,Shooter Boom,0.030602750536969026
4198,The Princess and the Frog,Wii,2009,Platform,Disney Interactive Studios,0.29,0.13,0.0,0.04,0.47,0.45999999999999996,0.010000000000000009,0.3852624007906449,0.2546422183735807,0.12221763272424921,0.0,Shooter Boom,0.013447767150499303
4199,NBA Ballers: Phenom,PS2,2006,Sports,Midway Games,0.23,0.18,0.0,0.06,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.20701416938432615,0.16551443847757338,0.0,Shooter Boom,0.007830331239266224
4200,Need for Speed Carbon,XB,2006,Racing,Electronic Arts,0.35,0.1,0.0,0.02,0.47,0.47,0.0,0.3852624007906449,0.30010459245033805,0.09531017980432487,0.0,Shooter Boom,0.12446919658671544
4201,Tiger Woods PGA Tour 07,Wii,2007,Sports,Electronic Arts,0.43,0.0,0.0,0.04,0.47,0.47,0.0,0.3852624007906449,0.3576744442718159,0.0,0.0,Shooter Boom,0.12446919658671544
4202,NHL 16,XOne,2015,Sports,Electronic Arts,0.37,0.05,0.0,0.05,0.47,0.47,0.0,0.3852624007906449,0.31481073984003355,0.04879016416943201,0.0,Post-Peak,0.12446919658671544
4203,FIFA 12,PC,2011,Sports,Electronic Arts,0.04,0.33,0.0,0.1,0.47,0.47,0.0,0.3852624007906449,0.039220713153281295,0.2851789422336624,0.0,Shooter Boom,0.12446919658671544
4204,MTV Music Generator,PS,1999,Misc,Codemasters,0.26,0.18,0.0,0.03,0.47,0.47,0.0,0.3852624007906449,0.23111172096338664,0.16551443847757338,0.0,RPG Dominance,0.005366327221527189
4205,Spider-Man: Friend or Foe,DS,2007,Action,Activision,0.43,0.0,0.0,0.04,0.47,0.47,0.0,0.3852624007906449,0.3576744442718159,0.0,0.0,Shooter Boom,0.08154978902385981
4206,Major League Baseball 2K13,X360,2013,Sports,Take-Two Interactive,0.44,0.0,0.0,0.03,0.47,0.47,0.0,0.3852624007906449,0.36464311358790924,0.0,0.0,Post-Peak,0.04478927048441557
4207,Super Momotarou Dentetsu DX,SNES,1995,Misc,Hudson Soft,0.0,0.0,0.47,0.0,0.47,0.47,0.0,0.3852624007906449,0.0,0.0,0.3852624007906449,RPG Dominance,0.002579469174166297
4208,World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005,Sports,Konami Digital Entertainment,0.0,0.0,0.47,0.0,0.47,0.47,0.0,0.3852624007906449,0.0,0.0,0.3852624007906449,Shooter Boom,0.031796637834008185
4209,The Sims 3: Outdoor Living Stuff,PC,2011,Simulation,Electronic Arts,0.0,0.38,0.0,0.09,0.47,0.47,0.0,0.3852624007906449,0.0,0.32208349916911333,0.0,Shooter Boom,0.12446919658671544
4210,Cars: Race-O-Rama,PS2,2009,Racing,THQ,0.27,0.03,0.0,0.17,0.47,0.4700000000000001,-1.1102230246251565e-16,0.3852624007906449,0.23901690047049992,0.0295588022415444,0.0,Shooter Boom,0.038201030442444536
4211,Downhill Domination,PS2,2003,Racing,Codemasters,0.23,0.18,0.0,0.06,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.20701416938432615,0.16551443847757338,0.0,Transition,0.005366327221527189
4212,NHL 15,X360,2014,Sports,Electronic Arts,0.35,0.07,0.0,0.04,0.47,0.45999999999999996,0.010000000000000009,0.3852624007906449,0.30010459245033805,0.06765864847381481,0.0,Post-Peak,0.12446919658671544
4213,Pirates of the Caribbean: Dead Man's Chest,GBA,2006,Adventure,Disney Interactive Studios,0.33,0.12,0.0,0.01,0.47,0.46,0.009999999999999953,0.3852624007906449,0.2851789422336624,0.11332868530700317,0.0,Shooter Boom,0.013447767150499303
4214,World Series of Poker,PS2,2005,Misc,Activision,0.39,0.01,0.0,0.06,0.47,0.46,0.009999999999999953,0.3852624007906449,0.3293037471426004,0.009950330853168083,0.0,Shooter Boom,0.08154978902385981
4215,Inazuma Eleven Go 2: Chrono Stone,3DS,2012,Role-Playing,Level 5,0.0,0.01,0.46,0.0,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.0,0.009950330853168083,0.3784364357202451,Post-Peak,0.0013642824793395842
4216,NHL 97,PS,1996,Sports,Electronic Arts,0.26,0.18,0.0,0.03,0.47,0.47,0.0,0.3852624007906449,0.23111172096338664,0.16551443847757338,0.0,RPG Dominance,0.12446919658671544
4217,We Sing Encore,Wii,2010,Misc,Nordic Games,0.0,0.41,0.0,0.06,0.47,0.47,0.0,0.3852624007906449,0.0,0.3435897043900769,0.0,Shooter Boom,0.0004977332956670299
4218,Kong: The 8th Wonder of the World,GBA,2005,Action,Ubisoft,0.33,0.12,0.0,0.01,0.47,0.46,0.009999999999999953,0.3852624007906449,0.2851789422336624,0.11332868530700317,0.0,Shooter Boom,0.053217105882669466
4219,MX vs. ATV: Alive,PS3,2011,Racing,THQ,0.24,0.15,0.0,0.07,0.47,0.46,0.009999999999999953,0.3852624007906449,0.2151113796169455,0.13976194237515868,0.0,Shooter Boom,0.038201030442444536
4220,Mega Man Star Force 3: Black Ace / Red Joker,DS,2008,Action,Capcom,0.22,0.0,0.22,0.02,0.47,0.46,0.009999999999999953,0.3852624007906449,0.1988508587451652,0.0,0.1988508587451652,Shooter Boom,0.022520189587060726
4221,Crayola: Treasure Adventures,DS,2007,Puzzle,Ignition Entertainment,0.43,0.01,0.0,0.03,0.47,0.47,0.0,0.3852624007906449,0.3576744442718159,0.009950330853168083,0.0,Shooter Boom,0.0007645362784795369
4222,Godzilla: Save the Earth,PS2,2004,Fighting,Atari,0.23,0.18,0.0,0.06,0.47,0.47000000000000003,-5.551115123125783e-17,0.3852624007906449,0.20701416938432615,0.16551443847757338,0.0,Transition,0.01762469115873208
4223,Dance Dance Revolution: Mario Mix,GC,2005,Misc,Nintendo,0.36,0.09,0.0,0.01,0.47,0.45999999999999996,0.010000000000000009,0.3852624007906449,0.3074846997479606,0.08617769624105233,0.0,Shooter Boom,0.20027711637542542
4224,Metal Gear Solid: The Twin Snakes,GC,2004,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,0.47,0.46,0.009999999999999953,0.3852624007906449,0.26236426446749106,0.07696104113612832,0.06765864847381481,Transition,0.031796637834008185
